participant,drinks_1,drinks_2,drinks_3,drinks_4,knnfs1_1,knnfs1_2,knnfs1_3,knnfs1_4,knnfs2_1,knnfs2_2,knnfs2_3,knnfs2_4,knnfs3_1,knnfs3_2,knnfs3_3,knnfs3_4,knnfs4_1,knnfs4_2,knnfs4_3,knnfs4_4,knn1_1,knn1_2,knn1_3,knn1_4,knn2_1,knn2_2,knn2_3,knn2_4,knn3_1,knn3_2,knn3_3,knn3_4,knn4_1,knn4_2,knn4_3,knn4_4,Discern1_1,Discern2_1,Discern3_1,Discern4_1,Discern5_1,Discern6_1,Discern7_1,Discern8_1,End1_1,kvar1_1,kvar1_2,kvar1_3,kvar2_1,kvar2_2,kvar2_3,kvar3_1,kvar3_2,kvar3_3,kvar4_1,kvar4_2,kvar4_3,gender1_1,gender2_1,gender3_1,gender4_1,genre1_1,genre1_2,genre1_3,genre1_4,genre2_1,genre2_2,genre2_3,genre2_4,genre3_1,genre3_2,genre3_3,genre3_4,genre4_1,genre4_2,genre4_3,genre4_4,endcode,CLIENT_start,TIME_start,TIME_end,TIME_total
s.9a938c26-7af5-4978-930f-8ca6dc41fc3e.txt,2,1,3,2,2.5,1.5,2,3,2.5,3,3,3.5,1.5,2,3,3,2.5,1.5,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-03-22-15-59,2024-04-22-15-59,"",""
s.3bd69e3d-6403-4771-9fa2-a3d96f7112eb.txt,3,1,1,0,1,1,1,2.5,1,1,1.5,1.5,1.5,1.5,1.5,1.5,2,1,1,1,2,1.5,2,1.5,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1.5,2,5,1,3,4,2,2,4,3,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",PbdOH2Gbum,2024-03-23-13-50,2024-04-23-13-50,2024-04-23-13-56,6
s.f75744a2-b709-48c0-abd3-15f5ade2f570.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-03-19-09-37,2024-04-19-09-37,"",""
s.c39a853c-1c1b-444e-a9ba-238e4d8d58a9.txt,0,2,2,1,2,2,2.5,2.5,2.5,2.5,2,2,3.5,2.5,3,3.5,3,2.5,1,2.5,3,3.5,3.5,3,3,3,3,2.5,2.5,3,2.5,2,2.5,2.5,2,2.5,5,3,3,4,1,3,4,1,1,3,3,3,3,2.5,3,4,4,4,3.5,3,2.5,2,3,2,3,3,3,2.5,3.5,4,3.5,3,3,3,4,3,3,2.5,3,3,3.5,a8wreukAEs,2024-03-24-19-07,2024-04-24-19-07,2024-04-24-19-37,30
s.a825a860-fdfc-4bd0-a49c-2420f42b8c63.txt,1,0,1,3,4.5,3.5,2.5,4,3,2,1.5,2.5,3,2.5,3.5,4.5,4,4,3.5,3.5,4,4.5,4.5,5,2.5,4,4.5,5,3.5,3.5,2.5,3.5,2,2,2,2,3,2,4,1,1,4,4,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-04-17-17-33,2024-05-17-17-33,"",""
s.7db99e3c-bee3-4459-ab01-18a7af846eef.txt,1,1,2,7,2,2.5,1.5,1,1,1,1,1.5,2,3.5,3.5,4,2,1,1,1.5,2.5,2.5,3.5,4,2,4.5,3.5,2.5,1.5,2.5,1,2,1.5,1,3.5,2,5,1,3,4,1,3,4,3,1,2.5,2.5,3,2,3.5,2.5,2,2.5,1.5,2,2.5,3,3,1,3,3,2,2.5,3.5,2,3.5,2.5,4,3,2.5,3.5,4,2,2,1.5,4,3.5,tu9BhkNqNE,2024-03-22-23-34,2024-04-22-15-34,2024-04-22-15-46,12
s.b73b0078-be5c-45c7-857c-2c18bca52df5.txt,3,6,1,3,2.5,3.5,3.5,3.5,2,2,2,2.5,3,3.5,3,3.5,2,2.5,1.5,2.5,3,3.5,4,3.5,2,2.5,2.5,2,1.5,2,2.5,2.5,3,2.5,3,2.5,3,1,2,3,1,1,2,2,1,3.5,3.5,3.5,2,2.5,2,2,1.5,2.5,2.5,2.5,2.5,3,1,3,1,2,2.5,2,2,2.5,2.5,2,1.5,2,2.5,2,2,1.5,2.5,2,2.5,SvjdXQE9MP,2024-03-22-20-23,2024-04-22-20-23,2024-04-22-22-22,119
s.be389619-075a-403e-a777-366b34df7682.txt,0,0,0,3,3.5,3.5,4,4,3.5,1.5,3.5,4,3,4,3.5,4.5,4,3.5,4,4,3.5,4,4.5,4.5,3.5,4,4.5,4,3,4.5,4,3.5,4,3,3.5,4,3,4,2,2,1,4,4,1,1,4,3.5,4,3.5,4,3,3.5,4.5,4.5,3.5,4.5,3,2,1,3,3,2.5,3.5,4,4,4.5,4,4.5,3.5,3,4,4,4,3.5,4.5,4.5,4.5,Ptp7mLswAe,2024-03-25-22-18,2024-04-25-22-18,2024-04-25-22-39,21
s.73fd2210-0c68-45ee-ac0b-61de4534e969.txt,1,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-04-09-04-38,2024-05-09-04-38,"",""
s.e3a084f8-266d-4892-bb56-1c3247084a5b.txt,0,0,0,1,1.5,2,2,3,1.5,3,3,2.5,1.5,3,3,3,1.5,2,1,2,3,3,3.5,3.5,2,3,3,3,3,3,2.5,2.5,2,1.5,1.5,2.5,1,1,2,4,1,3,4,1,1,3,3.5,3.5,3,3.5,3.5,3.5,4,3.5,3,3,3,3,1,1,1,3.5,3.5,3.5,4,4,4,4.5,4.5,4,4.5,4,4.5,4,4.5,4.5,4.5,mxkjHB2jEJ,2024-03-22-17-50,2024-04-22-17-50,2024-04-22-17-59,9
s.818489a2-2112-46af-b4dc-dffb840ae412.txt,3,7,3,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-03-22-19-23,2024-04-22-19-23,"",""
s.a06c7920-0f4b-4533-910d-327aa38d14a4.txt,0,0,0,0,2,3,2.5,3.5,2,1,1,2,1,2,2,3,3,2,1.5,1,2.5,1,3.5,4,1,3,4,2,1,4.5,3,2.5,3.5,4,4,2.5,5,3,2,4,1,1,2,1,1,2,5,4,4,4.5,2,2.5,4.5,3.5,4.5,4,2,1,1,3,1,1,2.5,4.5,3.5,4,5,4,4,2.5,4.5,4,4,2.5,2,1.5,2.5,3LPFtTfS8M,2024-04-12-11-39,2024-05-12-11-39,2024-05-12-12-00,21
